song_name,artist_name,song_id,analysis_sample_rate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration,time_signature,genre
Cross Road Blues,Robert Johnson,1TrGdXSgiBm8W68D2K1COG,22050,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149.56,4,Blues
I Can't Quit You Baby,Willie Dixon,2PcbVKT28p9mOlWBDL371J,22050,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399.173,4,Blues
Red House,Jimi Hendrix,3XxBSvDZKH5YvZZjTpn6eR,22050,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230.36,4,Blues
Sweet Home Chicago,Robert Johnson,2wPHe2ecCdkT0ly0km12g4,22050,0.691,0.0958,1,-13.9,0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,176.627,4,Blues
I'm Your Hoochie Coochie Man,Muddy Waters,3KSchPNSklO5McIqRH3qYX,22050,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238.533,3,Blues
Texas Flood,Stevie Ray Vaughan,5MtN38MGEWJt60LwtBmFNP,22050,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320.907,3,Blues
Dust My Broom,Elmore James,1mbD2setZsn2n4U6xs3Dxg,22050,0.627,0.334,2,-13.163,1,0.0387,0.775,0.00391,0.161,0.843,87.115,179.76,4,Blues
Got My Mojo Working,Muddy Waters,65VzqBb5ogD2xIFD8jetMG,22050,0.519,0.779,4,-9.159,1,0.0648,0.573,8.13e-05,0.286,0.888,113.487,173.04,4,Blues
Mannish Boy,Muddy Waters,58PSYdY0GFg0LFb2PxYk4T,22050,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321.133,3,Blues
Hoochie Coochie Man - Live,Muddy Waters,4789JLZ8VZBD3NoEcpOrSi,22050,0.584,0.399,2,-10.115,0,0.0811,0.787,0.0673,0.702,0.699,105.946,228.0,3,Blues
Back Door Man,Howlin' Wolf,10HdfEE0sausAJu8HJD3Dp,22050,0.528,0.592,9,-14.041,0,0.0621,0.747,1.13e-06,0.203,0.925,156.623,173.533,4,Blues
I'm A King Bee,Slim Harpo,2DbjWyRtXmbOGyN1C1Kdbp,22050,0.712,0.58,10,-7.233,0,0.0263,0.401,0.000271,0.166,0.887,112.692,182.44,4,Blues
Reconsider Baby,Lowell Fulson,65JvAtDMWtNIjDCDOLeJ2A,22050,0.693,0.518,0,-10.984,1,0.0534,0.764,0.000782,0.057,0.688,95.258,189.467,4,Blues
The Sky is Crying,Elmore James,2VGKu8vqrtj0ca62khiu38,22050,0.296,0.6,2,-6.235,1,0.0343,0.03,0.582,0.12,0.592,177.278,166.4,3,Blues
Mystery Train - Remastered 2022,Little Junior Parker,5lgo86IFpVmZkP2tllm5eX,22050,0.473,0.318,1,-10.914,1,0.0296,0.699,0.000226,0.114,0.554,95.841,144.4,4,Blues
Third Degree,Eddie Boyd,1BvodgaabKhnVAtPupegxk,22050,0.569,0.126,2,-11.884,1,0.0471,0.934,7.59e-05,0.073,0.205,135.229,281.867,3,Blues
Broke Down Engine Blues,Blind Willie McTell,3pv4AWo4JMFi00CrvOfbOo,22050,0.653,0.19,3,-14.269,0,0.065,0.953,2.12e-06,0.138,0.671,113.6,165.027,3,Blues
Statesboro Blues,Blind Willie McTell,2T3YfMI0xRk93bmVMuJcKu,22050,0.496,0.285,6,-8.06,1,0.0831,0.974,0.00098,0.106,0.412,61.177,152.853,4,Blues
Hellhound on My Trail,Robert Johnson,2KkJj006V93x8d9dXpgmIg,22050,0.546,0.169,6,-13.852,0,0.0377,0.976,3.15e-05,0.133,0.549,96.297,154.467,4,Blues
Boom Boom,John Lee Hooker,2Mr1bGI2E10K7Mt1UJZ6Mw,22050,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152.351,4,Blues
Rollin' Stone,Muddy Waters,61K6lqGyrl2Aerk0LjAZem,22050,0.629,0.0192,4,-19.952,1,0.0833,0.989,4.3e-05,0.106,0.335,169.254,188.16,4,Blues
Wang Dang Doodle,Koko Taylor,1cXc92MX9kFjMrrDsvdf9w,22050,0.648,0.544,1,-8.963,1,0.179,0.343,2.93e-06,0.087,0.619,153.063,182.827,4,Blues
I'd Rather Go Blind,Etta James,1kPBT8S2wJFNAyBMnGVZgL,22050,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156.653,3,Blues
Big Boss Man,Jimmy Reed,7LhYCokNBDYsVF0A0x95Pc,22050,0.706,0.473,9,-12.673,1,0.0298,0.492,0.00627,0.0832,0.92,78.11,170.319,4,Blues
Little Red Rooster,Howlin' Wolf,22o1qy3iZ7CyXUdK6BIf2n,22050,0.546,0.185,9,-18.752,1,0.0409,0.761,1.1e-06,0.218,0.682,69.028,149.4,4,Blues
Black Snake Moan,Blind Lemon Jefferson,4yIetWIOrL4UknXPogikEg,22050,0.579,0.25,11,-10.824,1,0.0511,0.99,0.028,0.135,0.443,145.054,170.027,4,Blues
The Same Thing,Willie Dixon,5pa4GlLYWi9gEUmggc4KNy,22050,0.439,0.346,9,-17.635,1,0.0533,0.501,0.00144,0.428,0.803,49.194,280.497,4,Blues
St. James Infirmary Blues,The White Stripes,0ujFmyKkSXQnlVMBz4plMM,22050,0.585,0.857,5,-4.409,0,0.0393,0.58,0.601,0.215,0.624,118.861,144.267,4,Blues
Blues Before Sunrise,Leroy Carr,11xvtaU0jhu8kZui0TdGNj,22050,0.709,0.244,8,-10.693,1,0.0421,0.86,0,0.0827,0.477,75.731,210.587,4,Blues
See That My Grave is Kept Clean,Blind Lemon Jefferson,4brPSVo6F4X8X3OaCeAVR8,22050,0.39,0.184,3,-12.308,1,0.0412,0.99,0.000399,0.125,0.407,180.061,175.36,4,Blues
Death Letter Blues,Son House,0W0euvQlhbcsTydzsD4EQk,22050,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685,259.16,4,Blues
Catfish Blues,Robert Petway,2keoEzk1hbZD5fw3SHJ0H3,22050,0.603,0.42,1,-12.86,1,0.0564,0.978,0.0198,0.103,0.851,184.247,175.453,4,Blues
Stormy Monday Blues - Remastered 2022,T-Bone Walker,0E5L3ZvZD3cGCesbYuAtnY,22050,0.71,0.823,7,-7.474,1,0.0372,0.186,0.17,0.0963,0.915,112.147,171.747,4,Blues
The Thrill Is Gone,B.B. King,4NQfrmGs9iQXVQI9IpRhjM,22050,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324.733,4,Blues
Baby Please Don't Go,Big Joe Williams,1vjHFgIdNuLXojpkzysoV8,22050,0.499,0.302,7,-15.15,1,0.0495,0.752,0.0266,0.129,0.564,167.075,164.507,4,Blues
Killing Floor,Howlin' Wolf,1a8vVeidOsauNu6rQmHBRS,22050,0.721,0.62,9,-9.775,1,0.0326,0.379,4.31e-05,0.344,0.644,118.696,172.827,4,Blues
THE THRILL IS GONE (Roy Hawkins / Rick Yawn),MORBLUS - Funky Blues Band,44vcd41k0qeCbhYzCkQXGv,22050,0.558,0.712,9,-10.148,0,0.049,0.361,0.00329,0.982,0.291,109.535,466.489,4,Blues
Little Wing,Jimi Hendrix,1Eolhana7nKHYpcYpdVcT5,22050,0.515,0.534,6,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,145.747,4,Blues
Peach Tree - Mono Version,Sonny Boy Williamson II,5K78KRl57O0mzqj4Ea722D,22050,0.541,0.73,7,-6.564,1,0.13,0.753,1.68e-06,0.351,0.857,165.387,157.0,4,Blues
Blues After Hours,Pinetop Perkins,2lGPaTIdogaYrDRZyeo00c,22050,0.488,0.366,7,-9.81,1,0.0646,0.832,0.0519,0.241,0.381,174.12,452.16,3,Blues
Boom Boom Out Go The Lights,Billy Branch,3rXMEO0LyulQqpLwMzaCkd,22050,0.539,0.561,9,-7.085,1,0.0304,0.456,0.015,0.325,0.924,73.518,218.867,4,Blues
Trouble in Mind,Larkin Poe,0e3ElMapLJIe0uIchrFVBt,22050,0.547,0.972,11,-4.581,0,0.0893,1.82e-05,0.00295,0.238,0.392,121.03,222.733,4,Blues
Call It Stormy Monday,B.B. King,74ebjC30zYX1M8OTuojNyE,22050,0.456,0.538,0,-10.485,1,0.0352,0.135,0,0.238,0.306,100.356,437.667,3,Blues
Hollywood Bed (Cherry Red Blues),Big Joe Turner,1DA9tIonu4u81QIGYQF2pZ,22050,0.612,0.285,2,-8.809,1,0.0402,0.496,4.37e-05,0.0298,0.414,94.619,166.24,4,Blues
Don't Throw Your Love On Me So Strong,Albert King,197OKxzLtow0TuEGR5HTg6,22050,0.49,0.607,2,-7.435,1,0.0272,0.275,4.55e-06,0.0609,0.865,109.826,174.173,3,Blues
Down Home Blues,Z.Z. Hill,5ZBnVHVp7PyuQzlAJXoHQ9,22050,0.779,0.428,0,-14.431,1,0.0494,0.0528,0.00582,0.0733,0.736,123.697,315.093,1,Blues
"Honey, Hush aka Talking Woman Blues",Albert Collins,5qPJSWhuZpD79C3CloJvDA,22050,0.862,0.707,0,-6.742,1,0.0324,0.0947,0.00665,0.124,0.863,122.21,268.16,4,Blues
I'm Tore Down,Freddie King,2Qj1FilGsXITZbFVmVeoLy,22050,0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,253.333,4,Blues
It Hurts Me Too,Elmore James,7egQm3o9Qem3FhzUNi66rI,22050,0.623,0.623,11,-8.403,0,0.0392,0.848,0.00114,0.0572,0.604,89.031,200.24,3,Blues
Juke,Little Walter,57W5o6ojTFtydDMZ0mDDB3,22050,0.566,0.657,4,-10.33,1,0.0693,0.751,0.896,0.156,0.643,145.359,164.893,4,Blues
"Adagio for Strings, Op. 11",Samuel Barber,7nHvS6UUhz2gJhj8TIROLX,22050,0.115,0.0858,10,-20.432,0,0.0447,0.912,0.9,0.0906,0.0296,89.296,596.227,3,Classical
Canon in D Major (Arr. Robert Schultz),Johann Pachelbel,4nXMiwWi9tmREdyz4iqSZc,22050,0.395,0.192,2,-17.514,1,0.0604,0.994,0.931,0.104,0.24,73.135,239.547,4,Classical
"The Four Seasons - Spring in E Major, RV. 269: I. Allegro",Antonio Vivaldi,4jOlYUMMsCacMm3xcrYRLl,22050,0.491,0.142,4,-17.265,1,0.0361,0.764,0.74,0.248,0.234,112.295,202.387,4,Classical
"Ave Maria, D. 839",Franz Schubert,4JsMpgsep6XpuHSzKCTxCz,22050,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.891,256.573,4,Classical
"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa",Wolfgang Amadeus Mozart,5p3xMIHQ6YoAIaSgZeOkNa,22050,0.069,0.101,2,-23.487,0,0.0407,0.961,0.795,0.444,0.0707,74.782,199.84,4,Classical
"Toccata and Fugue in D Minor, BWV 565: I. Toccata",Johann Sebastian Bach,4HE2Ex0bjbj3YNXmV01OoM,22050,0.303,0.158,2,-15.529,0,0.0417,0.705,0.259,0.239,0.108,83.546,150.8,4,Classical
The Nutcracker Suite,Pyotr Ilyich Tchaikovsky,6XA3w8yEZ8Udpzvo9nRQjw,22050,0.188,0.393,4,-6.102,0,0.0361,0.946,0.819,0.0969,0.0777,143.218,257.04,3,Classical
"Serenade No. 13 in G Major, K. 525, ""Eine kleine Nachtmusik"": II. Romanze: Andante",Wolfgang Amadeus Mozart,7JAX6pO5DuIXQC68mCO6H8,22050,0.323,0.0346,0,-22.295,1,0.0444,0.937,0.828,0.097,0.211,143.341,363.973,4,Classical
Albinoni: Adagio in G Minor (Excerpt),Tomaso Albinoni,5kl4Y5XymsUCl98GM7dgab,22050,0.14,0.097,0,-20.278,0,0.0427,0.692,0.784,0.107,0.0375,89.583,353.36,3,Classical
The Barber of Seville: Overture,Gioachino Rossini,3PGPfeQTaZgHnmofWYBHSW,22050,0.324,0.218,4,-16.495,1,0.0592,0.936,0.684,0.249,0.535,174.556,453.067,4,Classical
"Swan Lake (Suite), Op. 20a, TH. 219: I. Scene - Swan Theme",Pyotr Ilyich Tchaikovsky,1TQ2UYCN7nhfj3cfcFC76V,22050,0.126,0.204,4,-16.095,0,0.0373,0.924,0.918,0.115,0.053,73.59,183.0,4,Classical
Miserere,Gregorio Allegri,2ED1VZ53iRImo252U2PEsu,22050,0.15,0.037,7,-26.859,0,0.046,0.974,0.00266,0.123,0.0356,73.132,719.133,4,Classical
Walkürenritt (Ride of the Valkyries),Richard Wagner,0Ms6Qt4qlD36LO3j01LpYb,22050,0.283,0.428,7,-8.819,1,0.0427,0.912,0.0025,0.106,0.159,90.575,316.027,3,Classical
"Messiah, HWV 56, Part I: Pastoral Symphony, ""Pifa"" (arr. L. Stokowski)",George Frideric Handel,2WuYYACpbXgn41VaPN3IYs,22050,0.107,0.0329,0,-29.429,1,0.0389,0.962,0.868,0.0932,0.0377,91.64,227.013,4,Classical
Turandot: Nessun dorma!,Giacomo Puccini,6daucNdQarYbFvQ1jOlreX,22050,0.196,0.0209,0,-19.966,1,0.0358,0.989,0.928,0.116,0.0397,68.923,134.507,3,Classical
"The Magic Flute, K. 620: Overture",Wolfgang Amadeus Mozart,2XRZPj0hi4P5rEfkXPcnmT,22050,0.31,0.115,3,-19.629,1,0.0433,0.969,0.751,0.133,0.103,90.128,401.4,4,Classical
Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille,Georges Bizet,6IuHbYWV49tArCbHBgMHl7,22050,0.248,0.00674,2,-36.547,1,0.0417,0.952,0.271,0.155,0.185,176.236,121.933,3,Classical
Orpheus in the Underworld: Cancan,Jacques Offenbach,4TfcKKlUE3QDGoHbeCcN3u,22050,0.373,0.573,2,-17.97,1,0.154,0.666,0.00569,0.663,0.543,151.722,161.747,4,Classical
La traviata / Act I: Libiamo ne'lieti calici,Giuseppe Verdi,41ujv4mhxlqR8nlnieDpDp,22050,0.424,0.214,10,-17.688,1,0.0763,0.962,2.9e-05,0.681,0.282,113.211,175.507,4,Classical
"An der schönen blauen Donau, Op. 314",Johann Strauss II,4J0e4gEqaLQlG5EM0wws1K,22050,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,707.173,4,Classical
Requiem: II. Dies Irae,Giuseppe Verdi,4UVwbnxKEzPGOuAtSEt2ic,22050,0.328,0.184,0,-19.244,0,0.0316,0.905,0.406,0.0961,0.199,80.523,137.16,4,Classical
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,61dYvvfIRtIDFuqZypPAta,22050,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151.48,4,Classical
"Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy of Man’s Desiring (Transcr. Hess for Piano)",Johann Sebastian Bach,2zl2AqEdHVLhjzStuRulGY,22050,0.351,0.0241,7,-33.197,1,0.0538,0.995,0.925,0.131,0.179,81.805,258.519,4,Classical
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,1VNvsvEsUpuUCbHpVop1vo,22050,0.442,0.00919,3,-32.452,1,0.047,0.984,0.936,0.0873,0.0929,79.314,273.667,4,Classical
Eine Alpensinfonie: X. Nacht,Richard Strauss,2MdE9SXTf3B7xVTziq8mbY,22050,0.117,0.00151,10,-44.599,0,0.0414,0.941,0.968,0.146,0.0353,85.502,142.88,4,Classical
Waltz Of The Flowers From The Nutcracker,Pyotr Ilyich Tchaikovsky,2EM3z870MwvKASPO23MeUB,22050,0.284,0.128,2,-17.745,1,0.0347,0.967,0.832,0.0535,0.114,96.321,424.307,4,Classical
"Violin Concerto in D Major, Op. 61: II. Larghetto",Ludwig van Beethoven,4BWs1bcs60wjW56SyoHjQi,22050,0.209,0.0402,7,-27.175,1,0.047,0.931,0.0588,0.0869,0.0514,95.939,486.0,4,Classical
"Piano Concerto No. 21 in C Major, K. 467: II. Andante",Wolfgang Amadeus Mozart,429GaRIWKJ3EU1GAQPbLcr,22050,0.137,0.0311,5,-28.208,1,0.0381,0.982,0.972,0.0908,0.063,179.223,433.667,3,Classical
"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,2fYOyayT80ysO3nxw9lKXn,22050,0.15,0.0115,2,-26.636,1,0.0425,0.976,0.191,0.0836,0.0955,101.769,394.56,3,Classical
"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák,3jLcwFns5S9OYQojN8XAkJ,22050,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,775.307,4,Classical
Méditation from Thaïs,Jules Massenet,0XfFRLi9G87t57kqZAzeef,22050,0.114,0.0701,4,-23.417,0,0.0445,0.87,0.431,0.0916,0.0371,89.33,331.933,1,Classical
Peer Gynt Suite No.1 op. 46 Morning (Allegro pastorale),Academy of St. Martin in the Fields,3kBtqDJvBkxnmuxo5cQlkj,22050,0.166,0.0171,4,-23.719,1,0.0396,0.985,0.941,0.123,0.0361,68.23,259.573,3,Classical
"The Planets, Op. 32: 4. Jupiter, the Bringer of Jollity",Gustav Holst,59Id4KrBWiizuq53doxWtp,22050,0.3,0.297,7,-14.937,0,0.037,0.924,0.925,0.314,0.279,139.855,456.0,4,Classical
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",Wolfgang Amadeus Mozart,2fC30Rt5tFa6FA2jNb4fiz,22050,0.327,0.332,7,-12.971,0,0.0404,0.877,0.751,0.129,0.285,118.85,435.16,4,Classical
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Ludwig van Beethoven,2ygeBLTP9uu3OW3VTulD8N,22050,0.25,0.318,0,-15.605,0,0.0411,0.956,0.897,0.0976,0.188,98.171,442.0,4,Classical
Pictures At An Exhibition: Promenade,Modest Mussorgsky,17i7Yj4HTQWBs8ums2ldX8,22050,0.126,0.00239,8,-39.715,1,0.0426,0.981,0.433,0.139,0.0938,87.034,67.24,4,Classical
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": I. Allegro ma non troppo, un poco maestoso",Ludwig van Beethoven,49Qt4XTMqTGt9rsFaKZybS,22050,0.239,0.0594,10,-21.904,1,0.0363,0.946,0.757,0.0648,0.0907,140.749,1001.613,4,Classical
"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. [Allegro]",Johann Sebastian Bach,4tXktBBrKGTebkYjvzFA3i,22050,0.567,0.369,6,-14.772,1,0.041,0.879,0.00478,0.126,0.891,101.105,332.32,4,Classical
O Fortuna from Carmina Burana - Vocal,Carl Orff,0V9YfDRxcA8qz2An0o96mz,22050,0.319,0.257,10,-18.167,1,0.0334,0.742,0.48,0.109,0.65,138.726,158.221,3,Classical
"Adagietto (From ""Symphony No. 5 in C-Sharp Minor"") [Live]",Gustav Mahler,7p5NYxs2LzmRFdlAt2kJGm,22050,0.162,0.308,5,-14.315,1,0.0453,0.929,0.633,0.106,0.045,83.372,762.84,4,Classical
Rhapsody in Blue,George Gershwin,7oB0QBEnGRIJjvlDc8YnM6,22050,0.305,0.184,9,-18.342,1,0.0409,0.969,0.781,0.132,0.0771,70.813,987.267,4,Classical
"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",Franz Liszt,7CIoJE0JfVFcmmUY3fFojH,22050,0.347,0.326,1,-15.347,1,0.0561,0.987,0.887,0.784,0.167,79.416,541.6,4,Classical
"Danse macabre in G Minor, Op. 40",Camille Saint-Saëns,1IM8x4lxZVOOP9gpQD6c5s,22050,0.442,0.181,7,-20.419,0,0.0443,0.906,0.656,0.0598,0.172,115.884,432.133,4,Classical
"Die Walküre, WWV 86B - Concert version / Dritter Aufzug: The Ride of the Valkyries",Richard Wagner,63ZSow0dnUhOr175IbNZa2,22050,0.235,0.365,7,-13.863,1,0.0356,0.927,0.907,0.17,0.126,91.187,183.667,3,Classical
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,3DNRdudZ2SstnDCVKFdXxG,22050,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315.427,3,Classical
"Boléro, M. 81",Maurice Ravel,418dTwOTWCJ8M113A6O6sP,22050,0.294,0.237,0,-19.088,1,0.043,0.678,0.811,0.0606,0.266,134.451,903.48,4,Classical
"Symphony No. 7 in A, Op. 92: 2. Allegretto",Ludwig van Beethoven,7zZYnegwVYSsoqCdtSswfi,22050,0.176,0.0622,4,-19.941,0,0.042,0.833,0.624,0.145,0.0655,63.149,509.173,4,Classical
"Prelude a l'apres-midi d'un faune, L. 86",Claude Debussy,4eY2bxGE2ykwefZ3adjetE,22050,0.0709,0.0155,1,-32.939,1,0.0435,0.949,0.785,0.0924,0.0315,76.646,705.512,3,Classical
Symphony No. 5 In C Sharp Minor: IV. Adagietto. Sehr langsam,Gustav Mahler,1FDMJ0sheMse5ELss1p7s0,22050,0.0889,0.00849,5,-33.111,1,0.0453,0.832,0.815,0.12,0.034,86.682,659.0,4,Classical
"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Sergei Rachmaninoff,5xcYuTciYwyCDPkOgYBAYz,22050,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174.653,4,Classical
Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,22050,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,232.533,4,Country
The Good Ones,Gabby Barrett,3hLuHKzG1cmlRpq53ZVWd8,22050,0.519,0.552,2,-5.023,1,0.0259,0.18,0,0.149,0.331,89.957,215.141,4,Country
Settling Down,Miranda Lambert,53bZYxVbCYm6w1Gx8U64bz,22050,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,197.453,4,Country
One Margarita,Luke Bryan,1Y3TlYJNhIa7k4YAvFkJAB,22050,0.641,0.842,9,-4.872,1,0.0464,0.0969,0,0.169,0.738,89.997,193.427,4,Country
Minimum Wage,Blake Shelton,0Lavu1rppGgXfiK27cAMyU,22050,0.551,0.941,4,-3.793,1,0.0683,0.00179,0,0.066,0.744,90.039,228.267,4,Country
Who I Am,Jessica Andrews,0rK4HCKzv2r1IXqKX3DKpq,22050,0.463,0.674,7,-5.422,1,0.0319,0.0115,0,0.123,0.259,84.039,255.234,4,Country
Starting Over,Chris Stapleton,3K07bGe8iljQ3mOKArHLDo,22050,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240.413,4,Country
Long Live,Florida Georgia Line,0YfRAYTNTNszGg8VARrSIH,22050,0.611,0.846,7,-3.548,1,0.0374,0.178,0,0.12,0.544,129.961,153.253,4,Country
Somebody Like That,Tenille Arts,3hboOw4dS0aXGuP0fyyvbC,22050,0.574,0.798,6,-5.356,1,0.0485,0.0152,0,0.111,0.58,105.034,198.209,4,Country
More Than My Hometown,Morgan Wallen,5OELUCYgOHKFAvCERnAvfS,22050,0.62,0.869,6,-5.479,1,0.0462,0.615,0,0.131,0.597,126.019,216.573,4,Country
"Wine, Beer, Whiskey",Little Big Town,5avVDmK9FVJpd3MDO8I3Zl,22050,0.727,0.914,7,-5.85,1,0.0743,0.617,0,0.596,0.784,106.021,196.16,4,Country
Made For You,Jake Owen,7vF3xkCMvZjAe2nTWY0uQZ,22050,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,238.4,4,Country
Chasing After You,Ryan Hurd,3MkXV52jXtsG4pvKp4cGE8,22050,0.601,0.675,4,-6.358,1,0.0399,0.698,0,0.125,0.446,131.933,207.667,4,Country
